Code,Area,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017
E02000956,Wandsworth 034,511085,523569,505413,500363
E02000957,Wandsworth 035,540015,543291,558300,566043
E02000958,Wandsworth 036,645968,682993,682656,685273
E02000959,Wandsworth 037,463742,474041,465098,463540
E02000960,Westminster 001,1584358,1600264,1643834,1626454
E02000961,Westminster 002,1454683,1701649,2001467,2159199
E02000962,Westminster 003,1522429,1354656,1337404,1432348
E02000963,Westminster 004,679879,658000,656209,647064
E02000964,Westminster 005,578197,585031,590105,595148
E02000965,Westminster 006,853821,835536,821660,817171
E02000966,Westminster 007,1433316,1642691,1475544,1518582
E02000967,Westminster 008,1366607,1524877,1532312,2577950
E02000968,Westminster 009,664588,646907,648371,617655
E02000969,Westminster 010,770085,739603,711867,692677
E02000970,Westminster 011,3225984,2963052,3229615,3097344
E02000971,Westminster 012,1227208,1226054,1331979,1335951
E02000972,Westminster 013,2248920,2006459,2280205,2380234
E02000973,Westminster 014,1270349,1390777,1420187,1422876
E02000974,Westminster 015,1551054,1464942,1441173,1599149
E02000975,Westminster 016,1329003,1500730,1627175,1607179
E02000976,Westminster 017,1096577,1076869,1108437,1179615
E02000977,Westminster 018,2280446,2384349,2302112,2416267
E02000978,Westminster 019,3626242,4630831,4721014,4416659
E02000979,Westminster 020,1607030,1555604,1484524,1545453
E02000980,Westminster 021,1929733,1914024,1704358,1329539
E02000981,Westminster 022,1051979,1096755,1051687,966280
E02000982,Westminster 023,1336237,1304542,1187581,1059011
E02000983,Westminster 024,888736,892655,966369,951300
