Code,Area,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,count,avg2017
E01000993,Croydon 021D,418023,422956,422944,402330,4,416563.25
E01000994,Croydon 009A,362672,390125,394250,399368,4,386603.75
E01000995,Croydon 009B,324722,326818,335655,362193,4,337347
E01000996,Croydon 009C,387325,394850,387290,362575,4,383010
E01000997,Croydon 009D,298833,313125,355875,342182,4,327503.75
E01000998,Croydon 010A,291509,294917,308275,308500,4,300800.25
E01000999,Croydon 009E,381571,362833,367900,354188,4,366623
E01001000,Croydon 010B,271417,285200,288125,269286,4,278507
E01001001,Croydon 013A,284500,292938,269688,293750,4,285219
E01001002,Croydon 009F,349971,344140,351315,374364,4,354947.5
E01001003,Croydon 010C,365917,361889,361300,358692,4,361949.5
E01001004,Croydon 015A,291020,286810,290130,303137,4,292774.25
E01001005,Croydon 019A,313327,304442,289646,289181,4,299149
E01001006,Croydon 016A,283066,270631,274818,279421,4,276984
E01001007,Croydon 016B,334583,341286,349083,369800,4,348688
E01001008,Croydon 019B,323450,324417,320636,334923,4,325856.5
E01001009,Croydon 019C,315458,312850,293100,312900,4,308577
E01001010,Croydon 019D,,365600,372778,357700,4,274019.5
E01001011,Croydon 019E,253928,253188,264357,252000,4,255868.25
E01001012,Croydon 020A,293182,258091,236733,262563,4,262642.25
E01001013,Croydon 020B,270615,267125,241462,228045,4,251811.75
E01001014,Croydon 024A,282338,259144,259550,265031,4,266515.75
E01001015,Croydon 041A,431895,430383,406650,331470,4,400099.5
E01001016,Croydon 041B,478736,507969,529996,468622,4,496330.75
E01001017,Croydon 043A,544693,518082,508469,542459,4,528425.75
E01001018,Croydon 044A,413857,456769,449422,444853,4,441225.25
E01001019,Croydon 044B,528475,531918,521298,546069,4,531940
E01001020,Croydon 044C,435083,435936,439020,435771,4,436452.5
E01001021,Croydon 044D,348500,347179,356333,335816,4,346957
E01001022,Croydon 044E,446376,425997,434591,430423,4,434346.75
E01001023,Croydon 041C,479502,404967,341260,354909,4,395159.5
E01001024,Croydon 043B,421260,421442,414713,421845,4,419815
E01001025,Croydon 043C,465289,472733,468261,469103,4,468846.5
E01001026,Croydon 043D,417697,417845,426103,429512,4,422789.25
E01001027,Croydon 043E,550540,554561,551399,547076,4,550894
E01001028,Croydon 038A,867188,808526,818444,823333,4,829372.75
E01001029,Croydon 038B,492030,577146,613350,645769,4,582073.75
E01001030,Croydon 038C,729000,668000,647000,636875,4,670218.75
E01001031,Croydon 038D,542168,566656,549955,521531,4,545077.5
E01001032,Croydon 035A,619485,696048,704200,705381,1,2725114
E01001033,Croydon 031A,409498,392570,404069,388844,3,531660.3333
E01001034,Croydon 031B,330069,371808,381230,363712,4,361704.75
E01001035,Croydon 027A,296352,314204,309677,314757,4,308747.5
E01001036,Croydon 029A,612325,634600,628237,540078,3,805080
E01001037,Croydon 029B,301586,314314,334287,360948,0,#DIV/0!
E01001038,Croydon 029C,276410,285598,325612,324640,0,#DIV/0!
E01001039,Croydon 029D,460885,489341,527335,545188,4,505687.25
E01001040,Croydon 029E,360105,347520,334536,345153,4,346828.5
E01001041,Croydon 031C,338425,305146,311280,299629,4,313620
E01001042,Croydon 024B,312250,324428,314722,301793,4,313298.25
E01001043,Croydon 027B,278259,275654,301302,294234,4,287362.25
E01001044,Croydon 023A,405982,384331,443180,483450,4,429235.75
E01001045,Croydon 027C,312752,330680,362700,376105,4,345559.25
E01001046,Croydon 023B,362005,400111,399588,407421,4,392281.25
E01001047,Croydon 027D,329927,325448,340690,327924,4,330997.25
E01001048,Croydon 020C,328490,322995,306994,311806,4,317571.25
E01001049,Croydon 023C,887444,844385,816633,794461,4,835730.75
E01001050,Croydon 023D,332875,321667,340458,355500,4,337625
E01001051,Croydon 030A,,,259600,,4,64900
E01001052,Croydon 030B,,267429,266714,271286,4,201357.25
E01001053,Croydon 032A,296800,296800,307658,319850,4,305277
E01001054,Croydon 030C,281875,288000,297000,309000,4,293968.75
E01001055,Croydon 032B,,272250,272625,290700,4,208893.75
E01001056,Croydon 030D,,,,,4,0
E01001057,Croydon 030E,,,,,4,0
E01001058,Croydon 034A,345452,354900,351450,353091,4,351223.25
E01001059,Croydon 034B,269740,277365,284190,282486,2,556890.5
E01001060,Croydon 034C,312576,329250,311568,314614,4,317002
E01001061,Croydon 034D,271917,288089,306375,292158,2,579269.5
E01001062,Croydon 026A,675227,647808,634233,649219,4,651621.75
E01001063,Croydon 026B,532000,492333,472556,468222,4,491277.75
E01001064,Croydon 026C,673500,602893,508866,462498,4,561939.25
E01001065,Croydon 034E,270190,265267,281366,299986,4,279202.25
E01001066,Croydon 034F,320714,340000,333125,325714,4,329888.25
E01001067,Croydon 041D,710969,717528,678563,659769,4,691707.25
